sample8,,sample9,,sample10,,sample12,,sample13,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
575.0177002,0.003482881235,575.0177002,0.004363180138,575.0177002,0.008256979287,575.0177002,0.001520534279,575.0177002,0.002577775391,
574.0111694,0.00397655461,574.0111694,0.00482571125,574.0111694,0.007886854,574.0111694,0.001582649071,574.0111694,0.002744307509,
573.0042725,0.004202377517,573.0042725,0.005117531866,573.0042725,0.007600727957,573.0042725,0.001971334917,573.0042725,0.002873925725,
571.9972534,0.004557289183,571.9972534,0.005429469515,571.9972534,0.00708671147,571.9972534,0.001865200698,571.9972534,0.002858369611,
570.9899292,0.005011018831,570.9899292,0.005730876699,570.9899292,0.006607153919,570.9899292,0.002006129362,570.9899292,0.003005902749,
569.9823608,0.005503130145,569.9823608,0.00612607738,569.9823608,0.005904788617,569.9823608,0.002444366459,569.9823608,0.003385612043,
569.0118408,0.006274724845,569.0118408,0.006804372184,569.0118408,0.005669870414,569.0118408,0.002719091717,569.0118408,0.003632480046,
568.0037231,0.007140680682,568.0037231,0.007297178265,568.0037231,0.005459167995,568.0037231,0.002808395308,568.0037231,0.003792601638,
566.9954834,0.008237852715,566.9954834,0.008456532843,566.9954834,0.005671810824,566.9954834,0.003326395061,566.9954834,0.004261975642,
565.9868774,0.009312545881,565.9868774,0.01034247596,565.9868774,0.006203821395,565.9868774,0.003971617203,565.9868774,0.004771139473,
565.0154419,0.01040292252,565.0154419,0.01154803857,565.0154419,0.00645098323,565.0154419,0.004098388366,565.0154419,0.005068240222,
564.0063477,0.01219766773,564.0063477,0.0134229213,564.0063477,0.0074366685,564.0063477,0.00494225882,564.0063477,0.005595656577,
562.9970703,0.01406207401,562.9970703,0.01516247261,562.9970703,0.008340436965,562.9970703,0.005611363798,562.9970703,0.005883718375,
561.9875488,0.01655253209,561.9875488,0.01728066802,561.9875488,0.009740960784,561.9875488,0.00659325067,561.9875488,0.00706150569,
561.0151367,0.01878972352,561.0151367,0.01914096624,561.0151367,0.01107572019,561.0151367,0.007458999287,561.0151367,0.007151285652,
560.005127,0.02186835743,560.005127,0.02176636457,560.005127,0.01289117243,560.005127,0.008791957051,560.005127,0.008042276837,
558.994812,0.02586019412,558.994812,0.02454707585,558.994812,0.01497656107,558.994812,0.01026449166,558.994812,0.00917980168,
557.9842529,0.03048020415,557.9842529,0.02781969868,557.9842529,0.01749821007,557.9842529,0.0121616479,557.9842529,0.01018638816,
557.0109253,0.0356615074,557.0109253,0.03130138665,557.0109253,0.02024008706,557.0109253,0.01430248749,557.0109253,0.01138341147,
555.999939,0.04169859737,555.999939,0.03540265933,555.999939,0.02357028052,555.999939,0.01649006829,555.999939,0.01240655128,
554.9887085,0.0486523807,554.9887085,0.04014003277,554.9887085,0.02725865319,554.9887085,0.01937592588,554.9887085,0.01401648857,
554.0147095,0.05637503043,554.0147095,0.04566147551,554.0147095,0.03167372942,554.0147095,0.02263530158,554.0147095,0.01542843971,
553.0029297,0.06465754658,553.0029297,0.05172015354,553.0029297,0.03606978804,553.0029297,0.02575965039,553.0029297,0.01727479696,
551.9909668,0.07532005012,551.9909668,0.06019130722,551.9909668,0.04235481098,551.9909668,0.03014264815,551.9909668,0.01963923126,
551.0162354,0.08720868081,551.0162354,0.06876701862,551.0162354,0.04857113957,551.0162354,0.03459662572,551.0162354,0.02138998918,
550.0038452,0.1008323357,550.0038452,0.07937917113,550.0038452,0.05655553937,550.0038452,0.04018029571,550.0038452,0.02431737818,
548.9910889,0.1144920439,548.9910889,0.09000105411,548.9910889,0.06404702365,548.9910889,0.04540763423,548.9910889,0.02673643269,
548.015686,0.129901439,548.015686,0.1015416756,548.015686,0.07271307707,548.015686,0.05134971812,548.015686,0.0295824483,
547.0025635,0.1461337507,547.0025635,0.1144036427,547.0025635,0.08212994039,547.0025635,0.05785623565,547.0025635,0.03265205771,
545.9891968,0.1655886024,545.9891968,0.1291346997,545.9891968,0.0925790444,545.9891968,0.0653103292,545.9891968,0.03614970669,
545.0130615,0.1870536059,545.0130615,0.145510897,545.0130615,0.1047149673,545.0130615,0.07380149513,545.0130615,0.04004106671,
