Final normalised emission correction curve,
Wavelength (nm),Intensity (a.u.)
837,22.91097193
838,23.89170763
839,24.97363369
840,26.16768874
841,27.48608359
842,28.94323967
843,30.55498606
844,32.3355973
845,34.3111449
846,36.49530261
847,38.91982391
848,41.60117681
849,44.60452003
850,47.89848291
