sample2,,sample3,,sample4,,sample5,,sample7,,sample8,,sample9,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
674.9921875,87.48672485,674.9921875,87.76641846,674.9921875,87.31243896,674.9921875,87.49932861,674.9921875,87.63899994,674.9921875,87.44441223,674.9921875,87.45954132,
674.0131836,87.49514008,674.0131836,87.69975281,674.0131836,87.34888458,674.0131836,87.56073761,674.0131836,87.54009247,674.0131836,87.59758759,674.0131836,87.57090759,
672.9976196,87.40644073,672.9976196,87.75608826,672.9976196,87.31995392,672.9976196,87.41635895,672.9976196,87.58783722,672.9976196,87.45357513,672.9976196,87.42756653,
672.0180664,87.55289459,672.0180664,87.75691986,672.0180664,87.40834808,672.0180664,87.61138916,672.0180664,87.57931519,672.0180664,87.56499481,672.0180664,87.62922668,
671.0018921,87.40345001,671.0018921,87.74486542,671.0018921,87.31697083,671.0018921,87.41740417,671.0018921,87.54686737,671.0018921,87.46435547,671.0018921,87.38011169,
669.9854126,87.33848572,669.9854126,87.56615448,669.9854126,87.18762207,669.9854126,87.49679565,669.9854126,87.51035309,669.9854126,87.39322662,669.9854126,87.41543579,
669.0049438,87.42131805,669.0049438,87.71395111,669.0049438,87.16014862,669.0049438,87.38573456,669.0049438,87.4401474,669.0049438,87.39536285,669.0049438,87.42701721,
667.987854,87.41909027,667.987854,87.68830872,667.987854,87.29307556,667.987854,87.55020905,667.987854,87.50416565,667.987854,87.48321533,667.987854,87.50550842,
667.0067139,87.45243835,667.0067139,87.75369263,667.0067139,87.38787079,667.0067139,87.50650787,667.0067139,87.51676941,667.0067139,87.59633636,667.0067139,87.62115479,
665.9890137,87.29773712,665.9890137,87.70044708,665.9890137,87.26088715,665.9890137,87.48584747,665.9890137,87.57933044,665.9890137,87.45494843,665.9890137,87.42183685,
665.0073853,87.29738617,665.0073853,87.68943787,665.0073853,87.25282288,665.0073853,87.37995148,665.0073853,87.35871887,665.0073853,87.45848083,665.0073853,87.45065308,
663.9890137,87.37562561,663.9890137,87.62949371,663.9890137,87.16369629,663.9890137,87.39403534,663.9890137,87.49026489,663.9890137,87.45375824,663.9890137,87.39614868,
