Wavelength,exCorr
675,1.039139385
676,1.038364706
677,1.037608501
678,1.036870234
679,1.036149371
680,1.035445376
681,1.034757715
682,1.034085852
683,1.033429252
684,1.03278738
685,1.0321597
686,1.031545679
687,1.03094478
688,1.030356469
689,1.029780211
690,1.029215469
691,1.02866171
692,1.028118399
693,1.027584999
694,1.027060976
695,1.026545795
696,1.026038921
697,1.025539819
698,1.025047953
699,1.024562788
700,1.02408379
701,1.023610423
702,1.023142153
703,1.022678443
704,1.02221876
705,1.021762567
706,1.02130933
707,1.020858514
708,1.020409583
709,1.019962003
710,1.019515238
711,1.019068753
712,1.018622013
713,1.018174484
714,1.017725629
715,1.017274915
716,1.016821805
717,1.016365764
718,1.015906258
719,1.015442752
720,1.01497471
721,1.014501597
722,1.014022879
723,1.013538019
724,1.013046483
725,1.012547736
726,1.012041243
727,1.011526469
728,1.011002878
729,1.010469935
730,1.009927106
731,1.009373855
732,1.008809647
733,1.008233947
734,1.00764622
735,1.007045931
736,1.006432544
737,1.005805525
738,1.005164339
739,1.00450845
740,1.003837323
741,1.003150424
742,1.002447217
743,1.001727166
744,1.000989738
745,1.000234396
746,0.999460606
747,0.998667833
748,0.997855541
749,0.997023195
750,0.996170261
751,0.995296203
752,0.994400486
753,0.993482575
754,0.992541935
755,0.991578031
756,0.990590328
757,0.98957829
758,0.988541382
759,0.98747907
760,0.986390818
761,0.985276091
762,0.984134355
763,0.982965073
764,0.981767711
765,0.980541734
766,0.979286607
767,0.978001794
768,0.976686761
769,0.975340972
770,0.973963892
771,0.972554986
772,0.97111372
773,0.969639557
774,0.968131964
775,0.966590404
776,0.965014342
777,0.963403245
778,0.961756575
779,0.960073799
780,0.958354382
781,0.956597787
782,0.95480348
783,0.952970927
784,0.951099591
785,0.949188938
786,0.947238433
787,0.94524754
788,0.943215724
789,0.941142451
790,0.939027185
791,0.936869392
792,0.934668535
793,0.93242408
794,0.930135492
795,0.927802236
796,0.925423776
797,0.922999578
798,0.920529106
799,0.918011826
800,0.915447202
801,0.912834699
802,0.910173782
803,0.907463916
804,0.904704565
805,0.901895196
806,0.899035272
807,0.896124258
808,0.89316162
809,0.890146822
810,0.887079329
811,0.883958607
812,0.880784119
813,0.877555332
814,0.874271709
815,0.870932716
816,0.867537817
817,0.864086478
818,0.860578163
819,0.857012338
820,0.853388466
821,0.849706014
822,0.845964446
823,0.842163227
824,0.838301821
825,0.834379694
826,0.830396311
827,0.826351136
828,0.822243635
829,0.818073272
830,0.813839512
831,0.80954182
832,0.805179661
833,0.800752499
834,0.796259801
835,0.79170103
836,0.787075652
837,0.782383132
838,0.777622933
839,0.772794522
840,0.767897363
841,0.762930921
842,0.757894661
843,0.752788048
844,0.747610547
845,0.742361622
846,0.737040739
847,0.731647362
848,0.726180957
849,0.720640988
850,0.71502692
